,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
93,Scarytales: All Hail King Mongo,0,1,1,399,"Action, Adventure, Casual, Indie, Strategy",Single-player,,"May 28, 2019","In this thrilling hidden object adventure the evil sorcerer Zarrar has returned to take vengeance upon your family and the kingdom from which he was banished years ago. After possessing your brother's mind through his dark magic, Zarrar seems to be unstoppable! Or can you find out, how to stop him?",0,Urchin Games,1081240
94,Giant Life,0,4,2,999,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Stats",,"Jun 7, 2019","A &quot;Giant Life&quot; is a VR physic-based puzzle game. Play as an angry giant through a virtual reality journey, exploring the realm, destroying settlements and frightening its inhabitants.",0,Patagoniart,1081250
95,Crisis of the Middle Ages,0,2,0,199,"Casual, Indie, RPG","Single-player, Partial Controller Support",,"May 29, 2019",Crisis of the Middle Ages is a retro comedy RPG.,0,OrgAction LLC,1081260
96,Sacre Bleu,0,0,0,,"Action, Adventure, Casual, Indie","Single-player, Full controller support",,TBD,You are a Musketeer imprisoned on false charges. Steam-blast your way out and find the evil-doers who framed you. Uncover a plot to take over France!,0,Hildring Studio Inc,1081300
97,Aura,0,1,0,99,"Adventure, Casual, Indie","Single-player, Steam Achievements, Stats",,"Jul 23, 2019",?€????????€??????€????????????????????????????????????????€??????????????????????????€??????????????€?????????????????????????????????????????€?????????????????????????????????????????????????????????€??????????????????!,0,Zindeaxx Games,1081320
98,Aliens and Umbrellas,0,0,0,99,Casual,"Single-player, Steam Achievements",,"Jul 2, 2019",Shoot Aliens with Umbrellas and other Aliens,0,NiftyToolsUK,1081340
99,Master Cube,0,0,0,99,Indie,"Single-player, Steam Achievements, Steam Cloud",,"Jul 18, 2019","Master Cube is a 3d action platformer that's easy to learn and difficult to master. With original levels, and different styles of playing to becoming a professional Master Cube Player.",0,Ciccolella Lorenzo,1081350
100,Dragon and Weed: Origins OB - Dual Edges,0,1,0,,"Action, Indie, Design & Illustration",Single-player,,"Jan 23, 2020","In 2053, war is big money. When biotech searchers are abducted, two skilled mercenaries have to extract them. To accomplish their mission, they?€?ll have to face the n??1 private army. Dive into this world without mercy for a thrilling action story.",0,West Dragon Productions,1081370
101,GourMelee,0,3,1,799,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together",,"Jun 6, 2019",GourMelee is a 2-8 player local multiplayer party game where friends share controllers with their teammates to become the best chef in the kitchen,0,Anthony Tesija,1081410
102,Altorius,0,0,0,499,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Sep 6, 2019","Inspired by the games we grew up playing on the Atari ST and Genesis/Mega Drive, Altorius is a hybrid 2D twin-stick shooter with platforming and puzzle elements. Includes two full gameplay modes for near-endless gameplay!",0,industrian,1081420
103,Tale Of Starship,0,1,0,299,Indie,"Single-player, Steam Achievements, Partial Controller Support, Stats",,"Nov 15, 2019","Tale of Starship is a classic shoot them up, the objective of this game is to survive. Tale of Starship use RNG to generate enemy's wave. Moreover as the game progress, you can upgrade your starship through different ameliorations, each pool of ameliorations is generate randomly.",0,Mathieu GUERARD,1081430
104,PrincessGuardiansParodyH,0,0,0,0,RPG,Single-player,,"May 21, 2019","Parody PRG using the character of the princess guardians. The play factor which wasn't made in PRG which is an orthodox school is being taken in. When having an interest in our work, please play princess 1 of guardians, too. https://store.steampowered.com/app/1015150/PrincessGuardians/ I'm strong and mount a new game.",0,TetraProject,1081460
105,Hero Express,0,2,1,499,"Adventure, Casual, Indie, Racing, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud",,"Jul 5, 2019","Hero Express is an amazing 2d physics-driven driving game, full of strategy and fun. Go to an awesome journey around the world and save the planet!",0,Fantastico Studio,1080630
106,Cold Shell,0,0,0,,"Action, Indie, RPG","Single-player, Partial Controller Support",,2021,"Cold Shell is a top-down, sci-fi, arcade brawler with persistent RPG elements. Bash thugs and change wallpapers.",0,Brutal muse,1080680
107,Swordbreaker: Origins,0,0,0,,"Adventure, Indie","Single-player, Steam Achievements",,Q4 2021,"An illustrated text quest in the Swordbreaker universe. The prequel tells about the life and adventures of Swordbreaker from his childhood, and before the events in the mysterious castle.",0,DuCats Games Studio,1080700
108,Mutazione,8,229,6,1999,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,"Sep 19, 2019","A mutant soap opera where small-town gossip meets the supernatural. Explore the Mutazione community as Kai as she cares for her ailing grandfather. Discover magical gardens, new friends &amp; old secrets. They can survive an apocalyptic meteor strike, but can they survive their small-town drama?",0,Die Gute Fabrik,1080750
109,reYal,6,7,3,199,"Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support",,"May 30, 2019",Play as you playing as you.,0,xrrawva,1080780
110,Jack-In-A-Castle,7,18,0,599,"Casual, Indie, RPG",Single-player,,"Jul 12, 2019","Search for the missing king, while dealing with the most troublesome king's hand, and some other jerks. You can kiss dudes.",0,Nemlei,1080790
111,The Incredible Adventures of Super Panda,0,0,0,699,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards",,"Jun 18, 2019",A sinister decay has gripped Panda land. Super Panda embarks on an epic quest to find the source of the rot and save his beloved homeland. Join the Incredible Adventures of Super Panda on a gripping adventure to save his homeworld.,0,"Chaos Rift Entertainment, LLC",1080930
112,Kaos,0,1,0,999,"Action, RPG, Strategy","Single-player, Full controller support",,"May 28, 2019",Kaos is full of Discovery and Secrets! Based on Third-person shooter that doesn't take itself too seriously (it is a game after all).,0,Konundrum Interactive,1080950
113,Nature Zen,0,0,0,0,"Free to Play, Simulation, Strategy",Single-player,,"Jul 3, 2019","Nature Zen the first game created by Team Octane. In the game the player plays as god, manipulating the terrain that animals live on. Will you create an ecosystem full of happy animals, or will everything go extinct because of a lack of food in the area.",0,Team Octane,1080960
114,Moo Lander,0,0,0,,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together",,2021,"Moo Lander is a 2D adventure platformer, where you take control over your civilization?€?s last remaining spaceship to scour varied environments in search for the source of infinite amounts of milk. Tame the Mighty Cows, discover hidden secrets, solve puzzles and fight intelligent enemies!",0,The Sixth Hammer,1080040
115,Axan Ships - Low Poly,0,0,0,0,"Adventure, Free to Play, Indie",Single-player,,"May 30, 2019",Sci-fi RTS and Top-Down,0,Adam St??pi??ski,1080060
116,Project ONe ???????????????????????????,0,0,0,199,"Casual, Indie, RPG","Single-player, Steam Achievements, Full controller support",,"May 22, 2019","Old School RPG. Sorry, Japanese Language Only. It is an old school RPG. In RPG, it enters the genre called puzzle RPG.",0,Hellshake Yano,1080090
117,FinalAdventure,0,0,0,999,"Adventure, Indie, RPG","Single-player, Full controller support",,"May 31, 2019",Partir ?? l'aventure... Un ??trange ph??nom??ne est survenu suite ?? la collision d'une com??te... Faite ??quipe avec des personnages que vous allez rencontrer au cours de votre p??riple. Saurez vous sauver ce monde avant qu'il ne meure ?...,0,Dupeyron,1080120
118,Rocket Clicker,0,0,0,,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Cloud, Stats",,Aug 2019,Discover the universe with your 'amateurish' rocket. Take the first steps on untouchable planets. Earn money to upgrade your equipment and hire employees to fly to the &quot;unknown&quot; planet as quickly as possible.,0,SirGoose,1080150
119,Love Is In The Space,0,0,0,799,Adventure,Single-player,,"Jun 3, 2019","It is Valentine's Day, and just as you were about to start celebrating, your spaceship crash lands on an unknown planet. You get separated from your boyfriend in the crash, and must now set off on a dangerous quest to find him.",0,Elias Wick,1080180
120,Aries,0,1,1,1499,"Indie, Simulation, Strategy, Early Access","Single-player, Steam Cloud",,"Oct 15, 2020","Space strategy gaming reimagined. Dive into fast-paced real-time planetary battles against the backdrop of a turn-based campaign that sees you build your empire in the stars. With hundreds of troops and ships at your command, can you forge an empire that lasts?",0,Wirlwith,1080200
121,It's Raining Fists and Metal,0,1,0,399,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud",,"Dec 20, 2019","When the spirit of Metal reveals his true power, time and space lose meaning. Sharp your guitar and play it louder then hell, because.. it's RAINING FISTS AND METAL!",0,"Marco Amadei, Riccardo Ricci",1080240
122,Fool!,7,16,2,699,"Adventure, Indie, RPG","Single-player, Steam Achievements, Captions available, Steam Cloud",,"May 23, 2019","Jest your way from obscurity to royal acclaim as the King?€?s pet, beloved by all! As a talented young court fool with dreams of fame, scrabble with other young jesters to secure prestigious positions in the courts of Brenton's nobility.",0,Choice of Games,1080250
123,T??????????????????,0,0,0,999,"Casual, Indie, Simulation",Single-player,,"May 28, 2019",?????????????????????????????????????????????????€? ????????????????????????????????????????€?,0,snd,1080290
124,Super Mega Space Blaster Special,7,14,0,99,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play Together",,"Jun 17, 2019",A modern take on the retro arcade shooter. Super Mega Space Blaster Special is a fast-paced frantic blast of a shoot 'em up (shmup). Played alone or in local coop the game is addictive and will keep you coming back to unlock the next ship or beat your high-score.,0,Bare Knuckle Development,1080330
125,Rampart Tactics,0,0,1,199,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP",,"May 29, 2019","Indie Turnbased Strategy, solo or online.",0,Aaron Saluk,1080360
126,Dive with Sylvia VR,0,1,2,499,"Casual, Simulation",Single-player,,"Jun 11, 2019",Explore the beauty and serenity of a real reef in Belize with famed oceanographer and National Geographic Explorer-in-Residence Dr. Sylvia Earle. No two dives are the same.,0,Cascade Game Foundry SPC,1080370
127,DARK BLOOD,0,0,6,699,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support",,"May 24, 2019","The invasion of the demon legion has reached the Anastasia lands. Along with fire and cruelty, they destroyed the whole village. Athanas, a knight of Valentina returned to rescue the people. He witnessed his wife, Harley, being burned down under the fire of the devil and in him now there was only revenge.",0,Vany,1080440
128,Wayward Strand,0,0,0,,"Adventure, Indie, RPG, Simulation","Single-player, Full controller support, Captions available",,Coming in 2021,"Wayward Strand is a heartfelt interactive story, told in a unique and curious way. Play as Casey Beaumaris - intrepid teenage journalist - as she visits an airborne hospital for the first time. Uncover the airship's mysteries, and explore the lives of its inhabitants.",0,Ghost Pattern,1080450
129,georifters,0,0,0,1999,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Captions available, Steam Cloud, Remote Play on TV, Remote Play Together",,"May 29, 2020","The ground is your weapon in the fast paced battle arena of Georifters. Team up with or against your friends to punch portals, twist tunnels, flip lasers, and steal the ground from under each other using a unique arsenal of weapons and abilities in this ground busting adventure.",0,Busy Toaster,1080490
